test_name,status,cycles,macs,macs_per_cycle,max_error
test_1_simplecnn,PASS,1236500,2063488,1.668,0.000000
test_2_tinycnn,PASS,733934,344960,0.470,0.000000
test_3_mlp,PASS,769793,469504,0.609,0.000000
test_4_resnet_basic,PASS,1860120,3838784,2.063,0.000000
test_5_densenet_basic,PASS,1592305,1934912,1.215,0.000000
test_6_multitilecnn,PASS,5698050,10634112,1.866,0.000000
test_7_bottleneck,FAIL,6983890,28149376,4.030,0.231666
test_8_stride2,PASS,2033893,6096704,2.997,0.000000
test_9_padding,PASS,16287070,42151360,2.588,0.000000
test_10_resnet18,PASS,17274205,57146368,3.308,3.458796
test_11_layernorm_basic,PASS,553835,15685,0.028,0.000000
test_12_gelu_basic,PASS,447568,102272,0.228,0.009834
test_13_transformer_simple,PASS,6491658,6930287,1.067,0.026200
test_14_multiblock_transformer,PASS,43565798,105591725,2.423,0.103176
test_15_tinymyo_tiny,PASS,7505454,30404015,4.050,0.000648
test_16_mamba_conv1d,PASS,616130,896,0.001,0.007774
test_17_mamba_ssm,PASS,479126,12928,0.027,0.583652
test_18_mamba_block,PASS,441664,230016,0.521,0.153727
test_19_mamba_stacked,PASS,593665,688768,1.160,0.325679
test_20_bidirectional_mamba,PASS,1161859,230016,0.198,0.010594
test_21_femba_patchembedder,PASS,14617301,8867524,0.607,0.000000
test_22_femba_full,PASS,15305978,8867534,0.579,0.789231
test_23_femba_full_input,PASS,125466538,95932110,0.765,0.852048
test_24_femba_full_expand2,PASS,1109659115,594813390,0.536,0.210436
test_25_femba_tiny_int8,PASS,1109672530,594813390,0.536,0.991129
test_26_tinymyo_8ch_400tok,PASS,304952643,1921305685,6.300,0.000000
test_27_linear3d_bench,PASS,29013267,239004288,8.237,0.007212
test_28_conv2d_remainder,PASS,1790979,1849312,1.033,0.000000
test_29_luna_base,PASS,69625278,297801317,4.277,0.282983
test_30_autotune_stress,PASS,1633253,2017754,1.235,0.000000
test_31_luna_full,PASS,98533755,415294599,4.214,0.068701
test_36_drowsiness_fusion,PASS,4708138,12038848,2.557,0.000000
test_37_zeropad2d,PASS,679127,51712,0.076,0.000000
